,innings1_runs,innings2_runs,Season,Innings1_BattingTeam,Innings2_BattingTeam,Venue
1181766,54,55,2019,Sunrisers Hyderabad,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1181764,32,44,2019,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk, Chennai"
1178431,49,46,2019,Kolkata Knight Riders,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1178430,42,68,2019,Chennai Super Kings,Punjab Kings,"Wankhede Stadium, Mumbai"
1178429,52,49,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,M Chinnaswamy Stadium
1178428,30,46,2019,Rajasthan Royals,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1178427,41,62,2019,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1178426,44,59,2019,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai"
1178425,27,59,2019,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chepauk, Chennai"
1178424,62,41,2019,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium
1178423,77,44,2019,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi International Stadium, Uppal"
1178422,50,41,2019,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata"
1178421,59,64,2019,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi"
1178420,51,60,2019,Sunrisers Hyderabad,Rajasthan Royals,Sawai Mansingh Stadium
1178419,45,40,2019,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1178418,32,55,2019,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata"
1178417,70,68,2019,Royal Challengers Bangalore,Punjab Kings,M Chinnaswamy Stadium
1178416,54,49,2019,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1178415,52,59,2019,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium
1178414,49,32,2019,Royal Challengers Bangalore,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
1178413,61,72,2019,Kolkata Knight Riders,Sunrisers Hyderabad,M Chinnaswamy Stadium
1178412,50,60,2019,Punjab Kings,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1178411,46,60,2019,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
1178410,42,37,2019,Royal Challengers Bangalore,Kolkata Knight Riders,"Eden Gardens, Kolkata"
1178409,57,48,2019,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
1178408,41,68,2019,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1178407,39,54,2019,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1178406,45,67,2019,Royal Challengers Bangalore,Mumbai Indians,"Wankhede Stadium, Mumbai"
1178405,51,40,2019,Delhi Capitals,Sunrisers Hyderabad,"Eden Gardens, Kolkata"
1178404,49,44,2019,Kolkata Knight Riders,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
1178403,60,63,2019,Punjab Kings,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai"
1178402,57,59,2019,Mumbai Indians,Rajasthan Royals,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1178401,41,57,2019,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata"
1178400,54,24,2019,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium
1178399,50,50,2019,Punjab Kings,Mumbai Indians,"Wankhede Stadium, Mumbai"
1178398,29,40,2019,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1178397,27,38,2019,Sunrisers Hyderabad,Punjab Kings,"Punjab Cricket Association IS Bindra Stadium, Mohali"
1178396,28,65,2019,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
1178395,40,53,2019,Royal Challengers Bangalore,Delhi Capitals,M Chinnaswamy Stadium
1178394,30,39,2019,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
1178393,54,46,2019,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chepauk, Chennai"
1175372,53,59,2019,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium
1175371,36,62,2019,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi"
1175370,40,34,2019,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai"
1175369,48,55,2019,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium
